,count,alive,healthy,boroname,nta,nta_name,area (sq-ft),Median Income,Margin of Error,fraction alive,fraction healthy,density
36061015002,309,301,286,Manhattan,MN40,Upper East Side-Carnegie Hill,1352304.07207,156500.0,39951,0.974110032362,0.925566343042,0.000222583075964
36061015100,200,191,180,Manhattan,MN14,Lincoln Square,3579761.11203,67125.0,20946,0.955,0.9,5.33555156399e-05
36061015200,286,266,237,Manhattan,MN32,Yorkville,1913189.46552,82308.0,23320,0.93006993007,0.828671328671,0.000139034844585
36061015300,475,467,457,Manhattan,MN14,Lincoln Square,1872392.64555,140083.0,38731,0.983157894737,0.962105263158,0.000249413498344
36061015400,322,305,291,Manhattan,MN32,Yorkville,1909222.22612,80803.0,14490,0.947204968944,0.903726708075,0.000159750916277
36061015500,196,187,183,Manhattan,MN14,Lincoln Square,2035791.20349,106157.0,21696,0.954081632653,0.933673469388,9.18561784133e-05
36061015601,88,82,71,Manhattan,MN32,Yorkville,791936.854088,88620.0,9491,0.931818181818,0.806818181818,0.000103543609035
36061015602,66,62,62,Manhattan,MN33,East Harlem South,1169910.07519,50455.0,10657,0.939393939394,0.939393939394,5.29955261646e-05
36061015700,329,321,303,Manhattan,MN14,Lincoln Square,1967465.56483,122734.0,34648,0.975683890578,0.920972644377,0.000163154062637
36061015801,289,271,252,Manhattan,MN40,Upper East Side-Carnegie Hill,1353075.88079,136750.0,37809,0.937716262976,0.871972318339,0.000200284406697
36061015802,93,82,80,Manhattan,MN33,East Harlem South,551659.092482,100642.0,17446,0.881720430108,0.860215053763,0.000148642524192
36061015900,285,275,269,Manhattan,MN14,Lincoln Square,1867947.6824,117900.0,17123,0.964912280702,0.943859649123,0.000147220397333
36061016001,366,358,349,Manhattan,MN40,Upper East Side-Carnegie Hill,1352632.36512,222222.0,33480,0.978142076503,0.953551912568,0.00026466910687
36061016002,127,125,123,Manhattan,MN33,East Harlem South,554061.781332,87167.0,27892,0.984251968504,0.968503937008,0.000225606609609
36061016100,296,285,275,Manhattan,MN12,Upper West Side,1676458.50476,126727.0,14242,0.962837837838,0.929054054054,0.000170001225316
36061016200,193,182,170,Manhattan,MN33,East Harlem South,2924176.87584,21577.0,5389,0.943005181347,0.880829015544,6.22397371047e-05
36061016300,358,350,341,Manhattan,MN12,Upper West Side,2861320.05403,109971.0,14613,0.977653631285,0.95251396648,0.000122321164145
36061016400,214,208,202,Manhattan,MN33,East Harlem South,1911300.54728,33493.0,9622,0.971962616822,0.943925233645,0.000108826422038
36061016500,385,374,363,Manhattan,MN12,Upper West Side,2199114.63392,126346.0,25220,0.971428571429,0.942857142857,0.000170068442195
36061016600,296,245,228,Manhattan,MN33,East Harlem South,1872055.65387,35306.0,6662,0.827702702703,0.77027027027,0.000130872177594
36061016700,365,349,330,Manhattan,MN12,Upper West Side,2195089.32123,113276.0,18067,0.956164383562,0.904109589041,0.000158991252258
36061016800,229,217,201,Manhattan,MN33,East Harlem South,2151827.81718,26136.0,7756,0.947598253275,0.877729257642,0.000100844499856
36061016900,353,344,331,Manhattan,MN12,Upper West Side,1937088.13974,107401.0,32267,0.974504249292,0.937677053824,0.000177586137121
36061017000,191,169,153,Manhattan,MN33,East Harlem South,1969157.86859,30711.0,7237,0.884816753927,0.801047120419,8.58234896733e-05
36061017100,426,412,402,Manhattan,MN12,Upper West Side,2262383.07767,115331.0,31450,0.967136150235,0.943661971831,0.000182108858604
36061017200,205,200,195,Manhattan,MN33,East Harlem South,1912754.67484,35017.0,5821,0.975609756098,0.951219512195,0.000104561239677
